BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_02267	K00334	NADH-quinone oxidoreductase subunit E
BBLLADNB_02268	K00333	NADH-quinone oxidoreductase subunit D
BBLLADNB_02269	K00332	NADH-quinone oxidoreductase subunit C
BBLLADNB_02270	K00331	NADH-quinone oxidoreductase subunit B
BBLLADNB_02271	K00330	NADH-quinone oxidoreductase subunit A
BBLLADNB_02273	K03075	preprotein translocase subunit SecG
BBLLADNB_02278	K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] 
BBLLADNB_02278	K00872	homoserine kinase [EC:2.7.1.39] 
BBLLADNB_02279	K10763	DnaA-homolog protein  
BBLLADNB_02281	K00970	poly(A) polymerase [EC:2.7.7.19] 
BBLLADNB_02282	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] 
BBLLADNB_02286	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde
BBLLADNB_02299	K10237	trehalose/maltose transport system permease
BBLLADNB_02299	K02025	multiple sugar transport system
BBLLADNB_02300	K10236	trehalose/maltose transport system substrate-binding
BBLLADNB_02302	K16052	MscS family membrane protein
BBLLADNB_02303	K15864	nitrite reductase (NO-forming) /
BBLLADNB_02305	K06895	L-lysine exporter family protein
BBLLADNB_02306	K05596	LysR family transcriptional regulator,
BBLLADNB_02307	K07246	tartrate dehydrogenase/decarboxylase / D-malate
BBLLADNB_02310	K07171	mRNA interferase MazF [EC:3.1.-.-]
BBLLADNB_02312	K09989	uncharacterized protein  
BBLLADNB_02314	K02040	phosphate transport system substrate-binding
BBLLADNB_02315	K02039	phosphate transport system protein
BBLLADNB_02316	K02037	phosphate transport system permease
BBLLADNB_02317	K02038	phosphate transport system permease
BBLLADNB_02318	K02036	phosphate transport system ATP-binding
BBLLADNB_02319	K02036	phosphate transport system ATP-binding
BBLLADNB_02322	K14287	methionine transaminase [EC:2.6.1.88] 
BBLLADNB_02323	K03282	large conductance mechanosensitive channel
BBLLADNB_02324	K07263	zinc protease [EC:3.4.24.-] 
BBLLADNB_02328	K04062	osmotically inducible lipoprotein OsmB
BBLLADNB_02333	K04062	osmotically inducible lipoprotein OsmB
BBLLADNB_02343	K03746	DNA-binding protein H-NS 
BBLLADNB_02351	K18640	plasmid segregation protein ParM
BBLLADNB_02361	K03585	membrane fusion protein, multidrug
BBLLADNB_02362	K18138	multidrug efflux pump 
BBLLADNB_02363	K15777	4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]
BBLLADNB_02364	K15977	putative oxidoreductase  
BBLLADNB_02365	K18900	LysR family transcriptional regulator,
BBLLADNB_02377	K18208	renalase [EC:1.6.3.5]  
BBLLADNB_02381	K05794	tellurite resistance protein TerC
BBLLADNB_02391	K06921	uncharacterized protein  
BBLLADNB_02394	K02402	flagellar transcriptional activator FlhC
BBLLADNB_02397	K03630	DNA repair protein RadC
BBLLADNB_02405	K01652	acetolactate synthase I/II/III large
BBLLADNB_02406	K01653	acetolactate synthase I/III small
BBLLADNB_02407	K00053	ketol-acid reductoisomerase [EC:1.1.1.86] 
BBLLADNB_02408	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8] 
BBLLADNB_02409	K01649	2-isopropylmalate synthase [EC:2.3.3.13] 
BBLLADNB_02411	K03809	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
BBLLADNB_02412	K23127	cyclic-di-GMP-binding protein  
BBLLADNB_02413	K02959	small subunit ribosomal protein
BBLLADNB_02414	K02860	16S rRNA processing protein
BBLLADNB_02416	K01154	type I restriction enzyme,
BBLLADNB_02418	K01153	type I restriction enzyme,
BBLLADNB_02419	K07043	uncharacterized protein  
BBLLADNB_02421	K01256	aminopeptidase N [EC:3.4.11.2] 
BBLLADNB_02422	K07320	ribosomal protein L3 glutamine
BBLLADNB_02424	K01046	triacylglycerol lipase [EC:3.1.1.3] 
BBLLADNB_02428	K03545	trigger factor  
BBLLADNB_02429	K01358	ATP-dependent Clp protease, protease
BBLLADNB_02430	K03544	ATP-dependent Clp protease ATP-binding
BBLLADNB_02431	K01338	ATP-dependent Lon protease [EC:3.4.21.53]
BBLLADNB_02432	K04083	molecular chaperone Hsp33 
BBLLADNB_02434	K03517	quinolinate synthase [EC:2.5.1.72] 
BBLLADNB_02436	K01915	glutamine synthetase [EC:6.3.1.2] 
BBLLADNB_02438	K07708	two-component system, NtrC family,
BBLLADNB_02439	K07712	two-component system, NtrC family,
BBLLADNB_02440	K03524	BirA family transcriptional regulator,
BBLLADNB_02441	K03525	type III pantothenate kinase
BBLLADNB_02443	K07814	putative two-component system response
BBLLADNB_02444	K05939	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein]
BBLLADNB_02444	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] 
BBLLADNB_02446	K12573	ribonuclease R [EC:3.1.13.1] 
BBLLADNB_02453	K03769	peptidyl-prolyl cis-trans isomerase C
BBLLADNB_02464	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
BBLLADNB_02464	K08884	serine/threonine protein kinase, bacterial
BBLLADNB_02466	K04485	DNA repair protein RadA/Sms
BBLLADNB_02467	K01775	alanine racemase [EC:5.1.1.1] 
BBLLADNB_02469	K08227	MFS transporter, LPLT family,
BBLLADNB_02471	K03719	Lrp/AsnC family transcriptional regulator,
BBLLADNB_02473	K06872	uncharacterized protein  
BBLLADNB_02477	K03615	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
BBLLADNB_02478	K03614	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
BBLLADNB_02479	K03612	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
BBLLADNB_02480	K03613	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
BBLLADNB_02481	K10773	endonuclease III [EC:4.2.99.18] 
BBLLADNB_02488	K03406	methyl-accepting chemotaxis protein 
BBLLADNB_02488	K07216	hemerythrin   
BBLLADNB_02489	K02836	peptide chain release factor
BBLLADNB_02491	K04567	lysyl-tRNA synthetase, class II
BBLLADNB_02492	K15461	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional
BBLLADNB_02493	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] 
BBLLADNB_02494	K06916	cell division protein ZapE
BBLLADNB_02496	K06867	uncharacterized protein  
BBLLADNB_02497	K02051	NitT/TauT family transport system
BBLLADNB_02499	K01937	CTP synthase [EC:6.3.4.2] 
BBLLADNB_02500	K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P
BBLLADNB_02502	K01689	enolase [EC:4.2.1.11]  
BBLLADNB_02503	K05589	cell division protein FtsB
BBLLADNB_02506	K03564	peroxiredoxin Q/BCP [EC:1.11.1.15] 
BBLLADNB_02507	K03775	FKBP-type peptidyl-prolyl cis-trans isomerase
BBLLADNB_02512	K04771	serine protease Do [EC:3.4.21.107]
BBLLADNB_02513	K03803	sigma-E factor negative regulatory
BBLLADNB_02514	K03088	RNA polymerase sigma-70 factor,
BBLLADNB_02515	K00278	L-aspartate oxidase [EC:1.4.3.16] 
BBLLADNB_02516	K19168	toxin CptA  
BBLLADNB_02517	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
BBLLADNB_02518	K02078	acyl carrier protein 
BBLLADNB_02519	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
BBLLADNB_02520	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] 
BBLLADNB_02521	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
BBLLADNB_02522	K03621	phosphate acyltransferase [EC:2.3.1.274] 
BBLLADNB_02523	K02911	large subunit ribosomal protein
BBLLADNB_02524	K07040	uncharacterized protein  
BBLLADNB_02528	K05786	chloramphenicol-sensitive protein RarD 
BBLLADNB_02529	K19746	D-arginine dehydrogenase [EC:1.4.99.6] 
BBLLADNB_02531	K19745	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
BBLLADNB_02532	K03111	single-strand DNA-binding protein 
BBLLADNB_02534	K02032	peptide/nickel transport system ATP-binding
BBLLADNB_02539	K03111	single-strand DNA-binding protein 
BBLLADNB_02541	K10906	exodeoxyribonuclease VIII [EC:3.1.11.-] 
BBLLADNB_02542	K07455	recombination protein RecT 
BBLLADNB_02549	K02851	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33
BBLLADNB_02551	K01991	polysaccharide biosynthesis/export protein 
BBLLADNB_02552	K16692	tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
BBLLADNB_02553	K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
BBLLADNB_02556	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
BBLLADNB_02557	K04066	primosomal protein N' (replication
BBLLADNB_02558	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37] 
BBLLADNB_02559	K03498	trk system potassium uptake
BBLLADNB_02560	K03499	trk system potassium uptake
BBLLADNB_02562	K13598	two-component system, NtrC family,
BBLLADNB_02564	K03583	exodeoxyribonuclease V gamma subunit
BBLLADNB_02567	K19164	antitoxin CcdA  
BBLLADNB_02568	K19163	toxin CcdB  
BBLLADNB_02569	K07746	antitoxin ParD1/3/4  
BBLLADNB_02570	K19092	toxin ParE1/3/4  
BBLLADNB_02575	K06076	long-chain fatty acid transport
BBLLADNB_02578	K03192	urease accessory protein 
BBLLADNB_02583	K01070	S-formylglutathione hydrolase [EC:3.1.2.12] 
BBLLADNB_02584	K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol
BBLLADNB_02588	K03559	biopolymer transport protein ExbD
BBLLADNB_02589	K03561	biopolymer transport protein ExbB
BBLLADNB_02590	K03832	periplasmic protein TonB 
BBLLADNB_02592	K12349	neutral ceramidase [EC:3.5.1.23] 
BBLLADNB_02599	K00411	ubiquinol-cytochrome c reductase iron-sulfur
BBLLADNB_02601	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]
BBLLADNB_02604	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]
BBLLADNB_02605	K07497	putative transposase  
BBLLADNB_02607	K15738	ABC transport system ATP-binding/permease
BBLLADNB_02608	K07001	NTE family protein 
BBLLADNB_02611	K12062	conjugal transfer pilin signal
BBLLADNB_02615	K09144	uncharacterized protein  
BBLLADNB_02621	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] 
BBLLADNB_02622	K06204	DnaK suppressor protein 
BBLLADNB_02625	K03070	preprotein translocase subunit SecA
BBLLADNB_02625	K16922	putative peptide zinc metalloprotease
BBLLADNB_02626	K16922	putative peptide zinc metalloprotease
BBLLADNB_02628	K13634	LysR family transcriptional regulator,
BBLLADNB_02631	K03406	methyl-accepting chemotaxis protein 
BBLLADNB_02632	K03415	two-component system, chemotaxis family,
BBLLADNB_02633	K03415	two-component system, chemotaxis family,
BBLLADNB_02634	K03413	two-component system, chemotaxis family,
BBLLADNB_02635	K03414	chemotaxis protein CheZ 
BBLLADNB_02636	K03407	two-component system, chemotaxis family,
BBLLADNB_02637	K02401	flagellar biosynthetic protein FlhB
BBLLADNB_02638	K02400	flagellar biosynthesis protein FlhA
BBLLADNB_02640	K02474	UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-] 
BBLLADNB_02641	K02473	UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7] 
BBLLADNB_02642	K08309	soluble lytic murein transglycosylase
BBLLADNB_02642	K07126	uncharacterized protein  
BBLLADNB_02644	K03722	ATP-dependent DNA helicase DinG
BBLLADNB_02646	K01423	beta-barrel assembly-enhancing protease [EC:3.4.-.-]
BBLLADNB_02647	K04085	tRNA 2-thiouridine synthesizing protein
BBLLADNB_02648	K03342	para-aminobenzoate synthetase / 4-amino-4-deoxychorismate
BBLLADNB_02649	K01873	valyl-tRNA synthetase [EC:6.1.1.9] 
BBLLADNB_02651	K02339	DNA polymerase III subunit
BBLLADNB_02652	K01255	leucyl aminopeptidase [EC:3.4.11.1] 
BBLLADNB_02653	K07091	lipopolysaccharide export system permease
BBLLADNB_02654	K11720	lipopolysaccharide export system permease
BBLLADNB_02657	K22441	diamine N-acetyltransferase [EC:2.3.1.57] 
BBLLADNB_02658	K07006	uncharacterized protein  
BBLLADNB_02660	K11173	hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24] 
BBLLADNB_02663	K01154	type I restriction enzyme,
BBLLADNB_02669	K18588	coenzyme Q-binding protein COQ10
BBLLADNB_02670	K01886	glutaminyl-tRNA synthetase [EC:6.1.1.18] 
BBLLADNB_02671	K00537	arsenate reductase (glutaredoxin) [EC:1.20.4.1]
BBLLADNB_02673	K02004	putative ABC transport system
BBLLADNB_02676	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
BBLLADNB_02676	K08884	serine/threonine protein kinase, bacterial
BBLLADNB_02677	K05807	outer membrane protein assembly
BBLLADNB_02678	K06180	23S rRNA pseudouridine1911/1915/1917 synthase
BBLLADNB_02679	K05810	polyphenol oxidase [EC:1.10.3.-] 
BBLLADNB_02682	K00023	acetoacetyl-CoA reductase [EC:1.1.1.36] 
BBLLADNB_02682	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
BBLLADNB_02684	K20509	carboxybiotin decarboxylase [EC:7.2.4.1] 
BBLLADNB_02688	K01114	phospholipase C [EC:3.1.4.3] 
BBLLADNB_02693	K09800	translocation and assembly module
BBLLADNB_02694	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] 
BBLLADNB_02695	K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
BBLLADNB_02696	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
BBLLADNB_02697	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) /
BBLLADNB_02698	K00163	pyruvate dehydrogenase E1 component
BBLLADNB_02702	K00375	GntR family transcriptional regulator
BBLLADNB_02703	K13993	HSP20 family protein 
BBLLADNB_02704	K13993	HSP20 family protein 
BBLLADNB_02710	K07340	inner membrane protein 
BBLLADNB_02717	K02066	phospholipid/cholesterol/gamma-HCH transport system permease
BBLLADNB_02724	K02437	glycine cleavage system H
BBLLADNB_02725	K00281	glycine dehydrogenase [EC:1.4.4.2] 
BBLLADNB_02727	K00432	glutathione peroxidase [EC:1.11.1.9] 
BBLLADNB_02730	K07552	MFS transporter, DHA1 family,
BBLLADNB_02731	K03544	ATP-dependent Clp protease ATP-binding
BBLLADNB_02732	K06889	uncharacterized protein  
BBLLADNB_02735	K00688	glycogen phosphorylase [EC:2.4.1.1] 
BBLLADNB_02738	K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
BBLLADNB_02739	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
BBLLADNB_02740	K06990	MEMO1 family protein 
BBLLADNB_02741	K06990	MEMO1 family protein 
BBLLADNB_02741	K09141	uncharacterized protein  
BBLLADNB_02742	K04069	pyruvate formate lyase activating
BBLLADNB_02745	K16148	alpha-maltose-1-phosphate synthase [EC:2.4.1.342] 
BBLLADNB_02746	K14742	tRNA threonylcarbamoyladenosine biosynthesis protein
BBLLADNB_02747	K03789	[ribosomal protein S18]-alanine N-acetyltransferase
BBLLADNB_02748	K21929	uracil-DNA glycosylase [EC:3.2.2.27] 
BBLLADNB_02749	K03744	LemA protein  
BBLLADNB_02750	K06872	uncharacterized protein  
BBLLADNB_02751	K08988	putative membrane protein 
BBLLADNB_02752	K07576	metallo-beta-lactamase family protein 
BBLLADNB_02754	K02109	F-type H+-transporting ATPase subunit
BBLLADNB_02755	K02110	F-type H+-transporting ATPase subunit
BBLLADNB_02756	K02108	F-type H+-transporting ATPase subunit
BBLLADNB_02758	K03497	ParB family transcriptional regulator,
BBLLADNB_02759	K03496	chromosome partitioning protein 
BBLLADNB_02760	K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]
BBLLADNB_02761	K03495	tRNA uridine 5-carboxymethylaminomethyl modification
BBLLADNB_02762	K03386	peroxiredoxin (alkyl hydroperoxide reductase
BBLLADNB_02763	K03387	alkyl hydroperoxide reductase subunit
BBLLADNB_02765	K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
BBLLADNB_02766	K03286	OmpA-OmpF porin, OOP family
BBLLADNB_02767	K12410	NAD-dependent deacetylase [EC:3.5.1.-] 
BBLLADNB_02768	K03723	transcription-repair coupling factor (superfamily
BBLLADNB_02769	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] 
BBLLADNB_02770	K03321	sulfate permease, SulP family
BBLLADNB_02773	K00324	H+-translocating NAD(P) transhydrogenase subunit
BBLLADNB_02774	K00325	H+-translocating NAD(P) transhydrogenase subunit
BBLLADNB_02776	K01129	dGTPase [EC:3.1.5.1]  
BBLLADNB_02777	K01735	3-dehydroquinate synthase [EC:4.2.3.4] 
BBLLADNB_02778	K00891	shikimate kinase [EC:2.7.1.71] 
BBLLADNB_02779	K02666	type IV pilus assembly
BBLLADNB_02782	K02204	homoserine kinase type II
BBLLADNB_02785	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] 
BBLLADNB_02786	K09710	ribosome-associated protein  
BBLLADNB_02787	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
BBLLADNB_02788	K06287	septum formation protein 
BBLLADNB_02789	K07666	two-component system, OmpR family,
BBLLADNB_02790	K07645	two-component system, OmpR family,
BBLLADNB_02791	K03688	ubiquinone biosynthesis protein 
BBLLADNB_02795	K03786	3-dehydroquinate dehydratase II [EC:4.2.1.10]
BBLLADNB_02796	K02160	acetyl-CoA carboxylase biotin carboxyl
BBLLADNB_02797	K01961	acetyl-CoA carboxylase, biotin carboxylase
BBLLADNB_02798	K02687	ribosomal protein L11 methyltransferase
BBLLADNB_02804	K06182	23S rRNA pseudouridine2604 synthase
BBLLADNB_02807	K09749	uncharacterized protein  
BBLLADNB_02808	K03802	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
BBLLADNB_02809	K03802	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
BBLLADNB_02810	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33] 
BBLLADNB_02811	K03832	periplasmic protein TonB 
BBLLADNB_02814	K02428	XTP/dITP diphosphohydrolase [EC:3.6.1.66] 
BBLLADNB_02815	K00989	ribonuclease PH [EC:2.7.7.56] 
BBLLADNB_02816	K20074	PPM family protein phosphatase
BBLLADNB_02820	K04062	osmotically inducible lipoprotein OsmB
BBLLADNB_02822	K00942	guanylate kinase [EC:2.7.4.8] 
BBLLADNB_02823	K03060	DNA-directed RNA polymerase subunit
BBLLADNB_02825	K03427	type I restriction enzyme
BBLLADNB_02826	K01154	type I restriction enzyme,
BBLLADNB_02828	K01153	type I restriction enzyme,
BBLLADNB_02832	K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16] 
BBLLADNB_02834	K01507	inorganic pyrophosphatase [EC:3.6.1.1] 
BBLLADNB_02840	K00124	formate dehydrogenase iron-sulfur subunit
BBLLADNB_02841	K06282	hydrogenase small subunit [EC:1.12.99.6]
BBLLADNB_02842	K19661	two-component system, NtrC family,
BBLLADNB_02843	K01679	fumarate hydratase, class II
BBLLADNB_02843	K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
BBLLADNB_02844	K05972	acetylxylan esterase [EC:3.1.1.72] 
BBLLADNB_02844	K03932	polyhydroxybutyrate depolymerase  
BBLLADNB_02847	K12141	hydrogenase-4 component F [EC:1.-.-.-]
BBLLADNB_02848	K12140	hydrogenase-4 component E [EC:1.-.-.-]
BBLLADNB_02850	K12137	hydrogenase-4 component B [EC:1.-.-.-]
BBLLADNB_02852	K01512	acylphosphatase [EC:3.6.1.7]  
BBLLADNB_02853	K05367	penicillin-binding protein 1C [EC:2.4.1.129]
BBLLADNB_02855	K08167	MFS transporter, DHA2 family,
BBLLADNB_02862	K03719	Lrp/AsnC family transcriptional regulator,
BBLLADNB_02863	K02017	molybdate transport system ATP-binding
BBLLADNB_02865	K02020	molybdate transport system substrate-binding
BBLLADNB_02867	K00018	glycerate dehydrogenase [EC:1.1.1.29] 
BBLLADNB_02871	K01159	crossover junction endodeoxyribonuclease RuvC
BBLLADNB_02872	K03550	holliday junction DNA helicase
BBLLADNB_02876	K09984	uncharacterized protein  
BBLLADNB_02878	K09913	purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
BBLLADNB_02880	K01940	argininosuccinate synthase [EC:6.3.4.5] 
BBLLADNB_02881	K00611	ornithine carbamoyltransferase [EC:2.1.3.3] 
BBLLADNB_02882	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
BBLLADNB_02886	K00208	enoyl-[acyl-carrier protein] reductase I
BBLLADNB_02887	K09760	DNA recombination protein RmuC
BBLLADNB_02892	K03672	thioredoxin 2 [EC:1.8.1.8] 
BBLLADNB_02892	K03671	thioredoxin 1  
BBLLADNB_02895	K03585	membrane fusion protein, multidrug
BBLLADNB_02896	K08300	ribonuclease E [EC:3.1.26.12] 
BBLLADNB_02897	K06179	23S rRNA pseudouridine955/2504/2580 synthase
BBLLADNB_02898	K01091	phosphoglycolate phosphatase [EC:3.1.3.18] 
BBLLADNB_02900	K04773	protease IV [EC:3.4.21.-] 
BBLLADNB_02901	K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
BBLLADNB_02902	K06287	septum formation protein 
BBLLADNB_02903	K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262] 
BBLLADNB_02904	K03771	peptidyl-prolyl cis-trans isomerase SurA
BBLLADNB_02905	K04744	LPS-assembly protein  
BBLLADNB_02906	K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221] 
BBLLADNB_02907	K00992	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
BBLLADNB_02908	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9] 
BBLLADNB_02911	K18139	outer membrane protein, multidrug
BBLLADNB_02912	K22468	polyphosphate kinase [EC:2.7.4.1] 
BBLLADNB_02916	K10001	glutamate/aspartate transport system substrate-binding
BBLLADNB_02916	K02030	polar amino acid transport
BBLLADNB_02917	K02030	polar amino acid transport
BBLLADNB_02920	K03215	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
BBLLADNB_02927	K03070	preprotein translocase subunit SecA
BBLLADNB_02927	K16922	putative peptide zinc metalloprotease
BBLLADNB_02928	K01887	arginyl-tRNA synthetase [EC:6.1.1.19] 
BBLLADNB_02930	K03673	protein dithiol oxidoreductase (disulfide-forming)
BBLLADNB_02936	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit
BBLLADNB_02937	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit
BBLLADNB_02938	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65] 
BBLLADNB_02942	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] 
BBLLADNB_02943	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1] 
BBLLADNB_02944	K02031	peptide/nickel transport system ATP-binding
BBLLADNB_02944	K02032	peptide/nickel transport system ATP-binding
BBLLADNB_02945	K08307	membrane-bound lytic murein transglycosylase
BBLLADNB_02948	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_02949	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
BBLLADNB_02950	K03630	DNA repair protein RadC
BBLLADNB_02951	K02902	large subunit ribosomal protein
BBLLADNB_02952	K02913	large subunit ribosomal protein
BBLLADNB_02958	K06147	ATP-binding cassette, subfamily B,
BBLLADNB_02959	K03316	monovalent cation:H+ antiporter, CPA1
BBLLADNB_02963	K04561	nitric oxide reductase subunit
BBLLADNB_02964	K13771	Rrf2 family transcriptional regulator,
BBLLADNB_02965	K03321	sulfate permease, SulP family
BBLLADNB_02967	K06975	uncharacterized protein  
BBLLADNB_02971	K02291	15-cis-phytoene synthase [EC:2.5.1.32] 
BBLLADNB_02973	K07053	3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
BBLLADNB_02974	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] 
BBLLADNB_02976	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2] 
BBLLADNB_02977	K05896	segregation and condensation protein
BBLLADNB_02978	K06024	segregation and condensation protein
BBLLADNB_02981	K09803	uncharacterized protein  
BBLLADNB_02986	K02574	ferredoxin-type protein NapH 
BBLLADNB_02987	K02573	ferredoxin-type protein NapG 
BBLLADNB_02988	K02567	nitrate reductase (cytochrome) [EC:1.9.6.1]
BBLLADNB_02989	K02570	periplasmic nitrate reductase NapD
BBLLADNB_02990	K09888	cell division protein ZapA
BBLLADNB_02991	K09892	cell division protein ZapB
BBLLADNB_02992	K16092	vitamin B12 transporter 
BBLLADNB_02992	K02014	iron complex outermembrane recepter
BBLLADNB_02995	K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
BBLLADNB_02996	K11690	C4-dicarboxylate transporter, DctM subunit
BBLLADNB_02997	K11689	C4-dicarboxylate transporter, DctQ subunit
BBLLADNB_02999	K11688	C4-dicarboxylate-binding protein DctP 
BBLLADNB_03003	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-] 
BBLLADNB_03008	K02572	ferredoxin-type protein NapF 
BBLLADNB_03015	K07497	putative transposase  
BBLLADNB_03020	K07038	inner membrane protein 
BBLLADNB_03023	K01560	2-haloacid dehalogenase [EC:3.8.1.2] 
BBLLADNB_03024	K11209	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
BBLLADNB_03024	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_03025	K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65] 
BBLLADNB_03030	K02346	DNA polymerase IV [EC:2.7.7.7]
BBLLADNB_03033	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
BBLLADNB_03034	K20035	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-] 
BBLLADNB_03037	K03522	electron transfer flavoprotein alpha
BBLLADNB_03038	K03521	electron transfer flavoprotein beta
BBLLADNB_03038	K03522	electron transfer flavoprotein alpha
BBLLADNB_03041	K03581	exodeoxyribonuclease V alpha subunit
BBLLADNB_03043	K03281	chloride channel protein, CIC
BBLLADNB_03050	K01434	penicillin G amidase [EC:3.5.1.11]
BBLLADNB_03052	K16922	putative peptide zinc metalloprotease
BBLLADNB_03053	K07090	uncharacterized protein  
BBLLADNB_03054	K02482	two-component system, NtrC family,
BBLLADNB_03056	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
BBLLADNB_03057	K23256	NADPH-dependent curcumin reductase [EC:1.3.1.-]
BBLLADNB_03063	K07734	transcriptional regulator  
BBLLADNB_03067	K01874	methionyl-tRNA synthetase [EC:6.1.1.10] 
BBLLADNB_03070	K03636	sulfur-carrier protein  
BBLLADNB_03078	K01270	dipeptidase D [EC:3.4.13.-] 
BBLLADNB_03079	K09954	uncharacterized protein  
