NHBDKAOG_00003	K07334	toxin HigB-1  
NHBDKAOG_02358	K11688	C4-dicarboxylate-binding protein DctP 
NHBDKAOG_02359	K02016	iron complex transport system
NHBDKAOG_02360	K02225	cobalamin biosynthetic protein CobC
NHBDKAOG_02361	K02227	adenosylcobinamide-phosphate synthase [EC:6.3.1.10] 
NHBDKAOG_02362	K02232	adenosylcobyric acid synthase [EC:6.3.5.10]
NHBDKAOG_02364	K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate
NHBDKAOG_02365	K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21] 
NHBDKAOG_02366	K01406	serralysin [EC:3.4.24.40]  
NHBDKAOG_02367	K07234	uncharacterized protein involved in
NHBDKAOG_02368	K03782	catalase-peroxidase [EC:1.11.1.21]  
NHBDKAOG_02369	K01214	isoamylase [EC:3.2.1.68]  
NHBDKAOG_02369	K01236	maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141] 
NHBDKAOG_02369	K01200	pullulanase [EC:3.2.1.41]  
NHBDKAOG_02371	K03098	apolipoprotein D and lipocalin
NHBDKAOG_02375	K02379	FdhD protein  
NHBDKAOG_02376	K00123	formate dehydrogenase major subunit
NHBDKAOG_02377	K22515	formate dehydrogenase beta subunit
NHBDKAOG_02378	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] 
NHBDKAOG_02379	K02203	phosphoserine / homoserine phosphotransferase
NHBDKAOG_02380	K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10] 
NHBDKAOG_02381	K06158	ATP-binding cassette, subfamily F,
NHBDKAOG_02382	K07216	hemerythrin   
NHBDKAOG_02387	K03566	LysR family transcriptional regulator,
NHBDKAOG_02390	K05825	2-aminoadipate transaminase [EC:2.6.1.-] 
NHBDKAOG_02393	K02013	iron complex transport system
NHBDKAOG_02394	K02015	iron complex transport system
NHBDKAOG_02395	K16092	vitamin B12 transporter 
NHBDKAOG_02395	K02014	iron complex outermembrane recepter
NHBDKAOG_02397	K09888	cell division protein ZapA
NHBDKAOG_02399	K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26] 
NHBDKAOG_02400	K02226	alpha-ribazole phosphatase [EC:3.1.3.73] 
NHBDKAOG_02401	K01875	seryl-tRNA synthetase [EC:6.1.1.11] 
NHBDKAOG_02402	K07478	putative ATPase  
NHBDKAOG_02403	K00635	diacylglycerol O-acyltransferase / wax
NHBDKAOG_02405	K03566	LysR family transcriptional regulator,
NHBDKAOG_02407	K00937	polyphosphate kinase [EC:2.7.4.1] 
NHBDKAOG_02410	K09933	MtfA peptidase  
NHBDKAOG_02411	K11711	two-component system, LuxR family,
NHBDKAOG_02412	K11712	two-component system, LuxR family,
NHBDKAOG_02413	K04075	tRNA(Ile)-lysidine synthase [EC:6.3.4.19] 
NHBDKAOG_02414	K01962	acetyl-CoA carboxylase carboxyl transferase
NHBDKAOG_02415	K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
NHBDKAOG_02417	K03321	sulfate permease, SulP family
NHBDKAOG_02420	K07220	uncharacterized protein  
NHBDKAOG_02429	K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
NHBDKAOG_02431	K09122	uncharacterized protein  
NHBDKAOG_02432	K01620	threonine aldolase [EC:4.1.2.48] 
NHBDKAOG_02434	K01872	alanyl-tRNA synthetase [EC:6.1.1.7] 
NHBDKAOG_02438	K07487	transposase   
NHBDKAOG_02438	K07481	transposase, IS5 family 
NHBDKAOG_02448	K04068	anaerobic ribonucleoside-triphosphate reductase activating
NHBDKAOG_02452	K01998	branched-chain amino acid transport
NHBDKAOG_02452	K01995	branched-chain amino acid transport
NHBDKAOG_02452	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_02453	K01997	branched-chain amino acid transport
NHBDKAOG_02454	K01999	branched-chain amino acid transport
NHBDKAOG_02455	K05559	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02455	K05565	multicomponent Na+:H+ antiporter subunit
NHBDKAOG_02455	K05566	multicomponent Na+:H+ antiporter subunit
NHBDKAOG_02456	K05560	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02457	K05561	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02458	K05562	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02458	K05569	multicomponent Na+:H+ antiporter subunit
NHBDKAOG_02459	K05563	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02459	K05570	multicomponent Na+:H+ antiporter subunit
NHBDKAOG_02460	K05564	multicomponent K+:H+ antiporter subunit
NHBDKAOG_02479	K01637	isocitrate lyase [EC:4.1.3.1] 
NHBDKAOG_02483	K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
NHBDKAOG_02485	K07182	CBS domain-containing protein 
NHBDKAOG_02488	K06207	GTP-binding protein  
NHBDKAOG_02489	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_02490	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase
NHBDKAOG_02493	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
NHBDKAOG_02494	K12262	superoxide oxidase [EC:1.10.3.17] 
NHBDKAOG_02497	K09019	3-hydroxypropanoate dehydrogenase [EC:1.1.1.-] 
NHBDKAOG_02500	K07152	protein SCO1  
NHBDKAOG_02502	K09796	periplasmic copper chaperone A
NHBDKAOG_02503	K13993	HSP20 family protein 
NHBDKAOG_02506	K03687	molecular chaperone GrpE 
NHBDKAOG_02508	K13634	LysR family transcriptional regulator,
NHBDKAOG_02509	K07090	uncharacterized protein  
NHBDKAOG_02510	K00381	sulfite reductase (NADPH) hemoprotein
NHBDKAOG_02512	K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8
NHBDKAOG_02513	K00957	sulfate adenylyltransferase subunit 2
NHBDKAOG_02514	K00956	sulfate adenylyltransferase subunit 1
NHBDKAOG_02516	K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
NHBDKAOG_02517	K16692	tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
NHBDKAOG_02518	K01991	polysaccharide biosynthesis/export protein 
NHBDKAOG_02519	K01104	protein-tyrosine phosphatase [EC:3.1.3.48] 
NHBDKAOG_02520	K02851	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33
NHBDKAOG_02528	K02437	glycine cleavage system H
NHBDKAOG_02529	K00281	glycine dehydrogenase [EC:1.4.4.2] 
NHBDKAOG_02530	K00432	glutathione peroxidase [EC:1.11.1.9] 
NHBDKAOG_02533	K03544	ATP-dependent Clp protease ATP-binding
NHBDKAOG_02534	K06889	uncharacterized protein  
NHBDKAOG_02536	K18929	L-lactate dehydrogenase complex protein
NHBDKAOG_02537	K00782	L-lactate dehydrogenase complex protein
NHBDKAOG_02538	K18928	L-lactate dehydrogenase complex protein
NHBDKAOG_02539	K05799	GntR family transcriptional regulator,
NHBDKAOG_02540	K03664	SsrA-binding protein  
NHBDKAOG_02541	K18588	coenzyme Q-binding protein COQ10
NHBDKAOG_02542	K09801	uncharacterized protein  
NHBDKAOG_02544	K00088	IMP dehydrogenase [EC:1.1.1.205] 
NHBDKAOG_02545	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
NHBDKAOG_02547	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_02547	K07216	hemerythrin   
NHBDKAOG_02548	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine
NHBDKAOG_02549	K01520	dUTP pyrophosphatase [EC:3.6.1.23] 
NHBDKAOG_02550	K03611	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]
NHBDKAOG_02551	K00507	stearoyl-CoA desaturase (Delta-9 desaturase)
NHBDKAOG_02552	K07661	two-component system, OmpR family,
NHBDKAOG_02553	K07639	two-component system, OmpR family,
NHBDKAOG_02557	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
NHBDKAOG_02559	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
NHBDKAOG_02560	K03975	membrane-associated protein  
NHBDKAOG_02561	K03572	DNA mismatch repair protein
NHBDKAOG_02562	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75] 
NHBDKAOG_02563	K02342	DNA polymerase III subunit
NHBDKAOG_02563	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02567	K03496	chromosome partitioning protein 
NHBDKAOG_02572	K02040	phosphate transport system substrate-binding
NHBDKAOG_02573	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_02575	K06880	erythromycin esterase [EC:3.1.1.-] 
NHBDKAOG_02576	K07397	putative redox protein 
NHBDKAOG_02577	K09181	acetyltransferase   
NHBDKAOG_02580	K02456	general secretion pathway protein
NHBDKAOG_02581	K02456	general secretion pathway protein
NHBDKAOG_02582	K02453	general secretion pathway protein
NHBDKAOG_02600	K09803	uncharacterized protein  
NHBDKAOG_02616	K07493	putative transposase  
NHBDKAOG_02619	K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.-
NHBDKAOG_02621	K19075	CRISPR-associated protein Cst2 
NHBDKAOG_02622	K19090	CRISPR-associated protein Cas5t 
NHBDKAOG_02623	K15342	CRISP-associated protein Cas1 
NHBDKAOG_02623	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
NHBDKAOG_02624	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02628	K07137	uncharacterized protein  
NHBDKAOG_02629	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17] 
NHBDKAOG_02639	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]  
NHBDKAOG_02640	K06143	inner membrane protein 
NHBDKAOG_02641	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_02652	K07484	transposase   
NHBDKAOG_02654	K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
NHBDKAOG_02655	K00627	pyruvate dehydrogenase E2 component
NHBDKAOG_02656	K00163	pyruvate dehydrogenase E1 component
NHBDKAOG_02661	K07001	NTE family protein 
NHBDKAOG_02664	K03666	host factor-I protein 
NHBDKAOG_02665	K03665	GTPase   
NHBDKAOG_02666	K04088	modulator of FtsH protease
NHBDKAOG_02667	K04087	modulator of FtsH protease
NHBDKAOG_02668	K09937	uncharacterized protein  
NHBDKAOG_02669	K02502	ATP phosphoribosyltransferase regulatory subunit
NHBDKAOG_02670	K01939	adenylosuccinate synthase [EC:6.3.4.4] 
NHBDKAOG_02673	K07182	CBS domain-containing protein 
NHBDKAOG_02674	K02342	DNA polymerase III subunit
NHBDKAOG_02674	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02677	K00179	indolepyruvate ferredoxin oxidoreductase, alpha
NHBDKAOG_02678	K00180	indolepyruvate ferredoxin oxidoreductase, beta
NHBDKAOG_02679	K18997	chaperone modulatory protein CbpM
NHBDKAOG_02680	K05516	curved DNA-binding protein 
NHBDKAOG_02681	K13993	HSP20 family protein 
NHBDKAOG_02682	K13993	HSP20 family protein 
NHBDKAOG_02683	K09800	translocation and assembly module
NHBDKAOG_02689	K00459	nitronate monooxygenase [EC:1.13.12.16] 
NHBDKAOG_02692	K15724	iron-sulfur cluster insertion protein
NHBDKAOG_02693	K02259	cytochrome c oxidase assembly
NHBDKAOG_02695	K02257	heme o synthase [EC:2.5.1.141]
NHBDKAOG_02696	K07152	protein SCO1  
NHBDKAOG_02697	K11068	hemolysin III  
NHBDKAOG_02709	K02036	phosphate transport system ATP-binding
NHBDKAOG_02710	K02036	phosphate transport system ATP-binding
NHBDKAOG_02711	K02038	phosphate transport system permease
NHBDKAOG_02713	K02039	phosphate transport system protein
NHBDKAOG_02714	K02040	phosphate transport system substrate-binding
NHBDKAOG_02718	K07038	inner membrane protein 
NHBDKAOG_02721	K03699	putative hemolysin  
NHBDKAOG_02722	K03699	putative hemolysin  
NHBDKAOG_02729	K07493	putative transposase  
NHBDKAOG_02732	K15777	4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]
NHBDKAOG_02735	K03549	KUP system potassium uptake
NHBDKAOG_02736	K07667	two-component system, OmpR family,
NHBDKAOG_02737	K07646	two-component system, OmpR family,
NHBDKAOG_02738	K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
NHBDKAOG_02739	K02386	flagella basal body P-ring
NHBDKAOG_02740	K02398	negative regulator of flagellin
NHBDKAOG_02741	K02399	flagella synthesis protein FlgN
NHBDKAOG_02742	K03189	urease accessory protein 
NHBDKAOG_02743	K03188	urease accessory protein 
NHBDKAOG_02744	K03187	urease accessory protein 
NHBDKAOG_02746	K01154	type I restriction enzyme,
NHBDKAOG_02751	K01153	type I restriction enzyme,
NHBDKAOG_02752	K07043	uncharacterized protein  
NHBDKAOG_02753	K02003	putative ABC transport system
NHBDKAOG_02758	K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65] 
NHBDKAOG_02759	K02004	putative ABC transport system
NHBDKAOG_02762	K02030	polar amino acid transport
NHBDKAOG_02764	K03799	heat shock protein HtpX
NHBDKAOG_02767	K13993	HSP20 family protein 
NHBDKAOG_02776	K01796	alpha-methylacyl-CoA racemase [EC:5.1.99.4] 
NHBDKAOG_02778	K01996	branched-chain amino acid transport
NHBDKAOG_02778	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_02781	K01997	branched-chain amino acid transport
NHBDKAOG_02782	K01995	branched-chain amino acid transport
NHBDKAOG_02782	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_02783	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]
NHBDKAOG_02785	K14393	cation/acetate symporter  
NHBDKAOG_02786	K14393	cation/acetate symporter  
NHBDKAOG_02787	K01674	carbonic anhydrase [EC:4.2.1.1] 
NHBDKAOG_02790	K07497	putative transposase  
NHBDKAOG_02792	K02617	phenylacetic acid degradation protein
NHBDKAOG_02797	K02039	phosphate transport system protein
NHBDKAOG_02798	K02040	phosphate transport system substrate-binding
NHBDKAOG_02799	K02037	phosphate transport system permease
NHBDKAOG_02800	K02038	phosphate transport system permease
NHBDKAOG_02801	K02036	phosphate transport system ATP-binding
NHBDKAOG_02802	K02039	phosphate transport system protein
NHBDKAOG_02803	K07657	two-component system, OmpR family,
NHBDKAOG_02804	K07636	two-component system, OmpR family,
NHBDKAOG_02805	K09803	uncharacterized protein  
NHBDKAOG_02807	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] 
NHBDKAOG_02808	K03703	excinuclease ABC subunit C
NHBDKAOG_02810	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]  
NHBDKAOG_02811	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
NHBDKAOG_02812	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]
NHBDKAOG_02813	K03584	DNA repair protein RecO
NHBDKAOG_02814	K03595	GTPase   
NHBDKAOG_02815	K03685	ribonuclease III [EC:3.1.26.3] 
NHBDKAOG_02817	K03100	signal peptidase I [EC:3.4.21.89]
NHBDKAOG_02818	K03596	GTP-binding protein LepA 
NHBDKAOG_02820	K04771	serine protease Do [EC:3.4.21.107]
NHBDKAOG_02821	K03803	sigma-E factor negative regulatory
NHBDKAOG_02822	K03088	RNA polymerase sigma-70 factor,
NHBDKAOG_02824	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17] 
NHBDKAOG_02825	K00906	isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5
NHBDKAOG_02826	K00031	isocitrate dehydrogenase [EC:1.1.1.42] 
NHBDKAOG_02827	K07749	formyl-CoA transferase [EC:2.8.3.16] 
NHBDKAOG_02831	K18139	outer membrane protein, multidrug
NHBDKAOG_02832	K22468	polyphosphate kinase [EC:2.7.4.1] 
NHBDKAOG_02833	K00208	enoyl-[acyl-carrier protein] reductase I
NHBDKAOG_02835	K00925	acetate kinase [EC:2.7.2.1] 
NHBDKAOG_02836	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]  
NHBDKAOG_02840	K06907	uncharacterized protein  
NHBDKAOG_02845	K10680	N-ethylmaleimide reductase [EC:1.-.-.-] 
NHBDKAOG_02847	K03071	preprotein translocase subunit SecB
NHBDKAOG_02848	K03676	glutaredoxin 3  
NHBDKAOG_02851	K22719	murein hydrolase activator 
NHBDKAOG_02852	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]
NHBDKAOG_02854	K21029	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80] 
NHBDKAOG_02854	K03148	sulfur carrier protein ThiS
NHBDKAOG_02855	K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil
NHBDKAOG_02856	K07738	transcriptional repressor NrdR 
NHBDKAOG_02857	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1] 
NHBDKAOG_02861	K02078	acyl carrier protein 
NHBDKAOG_02871	K07481	transposase, IS5 family 
NHBDKAOG_02877	K00793	riboflavin synthase [EC:2.5.1.9] 
NHBDKAOG_02879	K05366	penicillin-binding protein 1A [EC:2.4.1.129
NHBDKAOG_02881	K11085	ATP-binding cassette, subfamily B,
NHBDKAOG_02881	K06147	ATP-binding cassette, subfamily B,
NHBDKAOG_02883	K02848	heptose I phosphotransferase [EC:2.7.1.-]
NHBDKAOG_02885	K02848	heptose I phosphotransferase [EC:2.7.1.-]
NHBDKAOG_02886	K02844	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-] 
NHBDKAOG_02887	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241
NHBDKAOG_02888	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6] 
NHBDKAOG_02889	K03328	polysaccharide transporter, PST family
NHBDKAOG_02897	K01912	phenylacetate-CoA ligase [EC:6.2.1.30] 
NHBDKAOG_02901	K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132] 
NHBDKAOG_02902	K21001	polysaccharide biosynthesis protein PslH
NHBDKAOG_02903	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
NHBDKAOG_02905	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
NHBDKAOG_02910	K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
NHBDKAOG_02915	K01991	polysaccharide biosynthesis/export protein 
NHBDKAOG_02919	K02968	small subunit ribosomal protein
NHBDKAOG_02920	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 
NHBDKAOG_02921	K12340	outer membrane protein 
NHBDKAOG_02922	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13
NHBDKAOG_02923	K02841	heptosyltransferase I [EC:2.4.-.-] 
NHBDKAOG_02924	K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate
NHBDKAOG_02924	K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] 
NHBDKAOG_02925	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] 
NHBDKAOG_02926	K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] 
NHBDKAOG_02929	K02050	NitT/TauT family transport system
NHBDKAOG_02932	K03969	phage shock protein A
NHBDKAOG_02935	K07340	inner membrane protein 
NHBDKAOG_02939	K07287	outer membrane protein assembly
NHBDKAOG_02940	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] 
NHBDKAOG_02940	K03517	quinolinate synthase [EC:2.5.1.72] 
NHBDKAOG_02942	K03924	MoxR-like ATPase [EC:3.6.3.-] 
NHBDKAOG_02944	K22452	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13] 
NHBDKAOG_02945	K08305	membrane-bound lytic murein transglycosylase
NHBDKAOG_02947	K06194	lipoprotein NlpD  
NHBDKAOG_02948	K07497	putative transposase  
NHBDKAOG_02952	K07497	putative transposase  
NHBDKAOG_02963	K07492	putative transposase  
NHBDKAOG_02964	K07492	putative transposase  
NHBDKAOG_02974	K09803	uncharacterized protein  
NHBDKAOG_02986	K03824	putative acetyltransferase [EC:2.3.1.-] 
NHBDKAOG_02988	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]
NHBDKAOG_02993	K08997	uncharacterized protein  
NHBDKAOG_02996	K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] 
NHBDKAOG_02996	K00872	homoserine kinase [EC:2.7.1.39] 
NHBDKAOG_02997	K10763	DnaA-homolog protein  
NHBDKAOG_02999	K00970	poly(A) polymerase [EC:2.7.7.19] 
NHBDKAOG_03000	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] 
NHBDKAOG_03003	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_03009	K01130	arylsulfatase [EC:3.1.6.1]  
NHBDKAOG_03011	K02970	small subunit ribosomal protein
NHBDKAOG_03016	K01130	arylsulfatase [EC:3.1.6.1]  
NHBDKAOG_03019	K20074	PPM family protein phosphatase
NHBDKAOG_03021	K11473	glycolate oxidase iron-sulfur subunit
NHBDKAOG_03022	K11472	glycolate oxidase FAD binding
NHBDKAOG_03023	K00104	glycolate oxidase [EC:1.1.3.15] 
NHBDKAOG_03024	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_03025	K07807	uncharacterized protein  
NHBDKAOG_03026	K08970	nickel/cobalt transporter (NicO) family
NHBDKAOG_03032	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] 
NHBDKAOG_03032	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 
NHBDKAOG_03033	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] 
NHBDKAOG_03033	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 
NHBDKAOG_03036	K10764	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-] 
NHBDKAOG_03037	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]  
NHBDKAOG_03038	K03558	membrane protein required for
NHBDKAOG_03039	K03749	DedD protein  
NHBDKAOG_03040	K11754	dihydrofolate synthase / folylpolyglutamate
NHBDKAOG_03041	K01963	acetyl-CoA carboxylase carboxyl transferase
NHBDKAOG_03042	K01695	tryptophan synthase alpha chain
NHBDKAOG_03043	K01696	tryptophan synthase beta chain
NHBDKAOG_03043	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24] 
NHBDKAOG_03051	K04748	nitric oxide reductase NorQ
NHBDKAOG_03052	K01601	ribulose-bisphosphate carboxylase large chain
NHBDKAOG_03055	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
NHBDKAOG_03056	K00873	pyruvate kinase [EC:2.7.1.40] 
NHBDKAOG_03057	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] 
NHBDKAOG_03059	K01414	oligopeptidase A [EC:3.4.24.70] 
NHBDKAOG_03061	K14393	cation/acetate symporter  
NHBDKAOG_03064	K01586	diaminopimelate decarboxylase [EC:4.1.1.20] 
NHBDKAOG_03067	K02005	HlyD family secretion protein
NHBDKAOG_03068	K02003	putative ABC transport system
NHBDKAOG_03069	K02004	putative ABC transport system
NHBDKAOG_03070	K02004	putative ABC transport system
NHBDKAOG_03071	K03190	urease accessory protein 
NHBDKAOG_03082	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_03083	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_03085	K07025	putative hydrolase of the
NHBDKAOG_03086	K00930	acetylglutamate kinase [EC:2.7.2.8] 
NHBDKAOG_03087	K01894	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
NHBDKAOG_03088	K06131	cardiolipin synthase A/B [EC:2.7.8.-]
NHBDKAOG_03089	K03442	small conductance mechanosensitive channel
NHBDKAOG_03090	K22226	Fe-coproporphyrin III synthase 
NHBDKAOG_03093	K09005	uncharacterized protein  
NHBDKAOG_03094	K03181	chorismate--pyruvate lyase [EC:4.1.3.40] 
NHBDKAOG_03095	K07666	two-component system, OmpR family,
NHBDKAOG_03096	K07645	two-component system, OmpR family,
NHBDKAOG_03096	K02484	two-component system, OmpR family,
NHBDKAOG_03097	K04771	serine protease Do [EC:3.4.21.107]
NHBDKAOG_03102	K06195	ApaG protein  
NHBDKAOG_03103	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] 
NHBDKAOG_03104	K01091	phosphoglycolate phosphatase [EC:3.1.3.18] 
NHBDKAOG_03105	K01657	anthranilate synthase component I
NHBDKAOG_03107	K07090	uncharacterized protein  
NHBDKAOG_03110	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2] 
NHBDKAOG_03110	K01849	methylmalonyl-CoA mutase, C-terminal domain
NHBDKAOG_03111	K07588	LAO/AO transport system kinase
NHBDKAOG_03112	K01966	propionyl-CoA carboxylase beta chain
NHBDKAOG_03113	K01965	propionyl-CoA carboxylase alpha chain
NHBDKAOG_03114	K00799	glutathione S-transferase [EC:2.5.1.18] 
NHBDKAOG_03120	K01990	ABC-2 type transport system
NHBDKAOG_03121	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]
NHBDKAOG_03133	K05366	penicillin-binding protein 1A [EC:2.4.1.129
NHBDKAOG_03143	K03427	type I restriction enzyme
NHBDKAOG_03148	K01974	RNA 3'-terminal phosphate cyclase
NHBDKAOG_03149	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy
NHBDKAOG_03153	K14414	transcriptional regulatory protein RtcR
NHBDKAOG_03159	K15371	glutamate dehydrogenase [EC:1.4.1.2] 
NHBDKAOG_03160	K15371	glutamate dehydrogenase [EC:1.4.1.2] 
NHBDKAOG_03161	K10004	glutamate/aspartate transport system ATP-binding
NHBDKAOG_03161	K02028	polar amino acid transport
NHBDKAOG_03161	K02030	polar amino acid transport
NHBDKAOG_03161	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_03162	K10002	glutamate/aspartate transport system permease
NHBDKAOG_03162	K02029	polar amino acid transport
NHBDKAOG_03163	K10003	glutamate/aspartate transport system permease
NHBDKAOG_03163	K02029	polar amino acid transport
NHBDKAOG_03165	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9
NHBDKAOG_03166	K03286	OmpA-OmpF porin, OOP family
NHBDKAOG_03167	K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
NHBDKAOG_03168	K03286	OmpA-OmpF porin, OOP family
NHBDKAOG_03169	K12410	NAD-dependent deacetylase [EC:3.5.1.-] 
NHBDKAOG_03171	K03723	transcription-repair coupling factor (superfamily
NHBDKAOG_03172	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] 
NHBDKAOG_03173	K06213	magnesium transporter  
NHBDKAOG_03174	K18446	triphosphatase [EC:3.6.1.25]  
NHBDKAOG_03180	K01721	nitrile hydratase subunit alpha
NHBDKAOG_03183	K03723	transcription-repair coupling factor (superfamily
NHBDKAOG_03184	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] 
NHBDKAOG_03185	K00873	pyruvate kinase [EC:2.7.1.40] 
NHBDKAOG_03187	K05939	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein]
